标题,关键词,类别
英超-芒特1传2射 维尔纳3门框+2球 切尔西6-0屠圣徒,切尔西,0
英超-孙兴慜戴帽凯恩两助攻 热刺4-0维拉取4连胜,凯恩,0
"无球可踢后卡里乌斯""转行""健身网红 已练出恐怖肌肉",健身,0
萨拉赫:与利物浦续约?我不能说会  也不能说不会,萨拉,0
商业互吹!渣叔:瓜帅是世界最佳 瓜帅:因你才变更好,瓜帅,0
英超新土豪1-0擒狼队!终结3连败 已无保级压力,压力,0
都别想走!曝曼联拒绝放行队内失意球星 C罗也不例外,球星,0
鲁尼回应C罗嫉妒论:每个球员都会嫉妒他 除了梅西,回应,2
鲁尼称曼联签C罗是个错误 C罗评论:两个嫉妒的人,两个,0
兰帕德又输保级大战!两获点球仍遭2-3逆转 9轮仅6分,大战,0
曼联新帅敲定!52岁荷兰名帅今夏上任 波切蒂诺无缘,敲定,0
鲁尼:曼联签约C罗是个错误 他不再是20岁的小伙了,签约,0
阿森纳遭维埃拉3球吊打!2大主力受伤 争四真难了,主力,0
英超积分:曼城1分压利物浦领跑 阿森纳惨败跌出前4,积分,0
英超-争四掉链子!阿森纳爆冷0-3水晶宫 厄德高送点,爆冷,0
兰帕德又输了!执教埃弗顿11战7负 仅领先降级区3分,降级,0
绝对巨星!孙兴慜英超直接参与20球 仅次于萨拉赫,萨拉,0
英超-孙兴慜传射 热刺5-1纽卡!超阿森纳升至第4,升至,0
终于谈妥了!曝萨拉赫同意续约3年 周薪近40万镑,终于,0
争冠白热化!曼城利物浦下周决战 瓜帅:未来8场都得赢,瓜帅,0
曼联名场面:拉什福德补时准单刀 被队友一脚绊倒...,单刀,0
挡不住的爱神！斩获回归英超后首球 近4场3球1助,斩获,0
曼联没他真不行!C罗因流感缺阵 朗尼克无锋阵玩脱,缺阵,0
英超-C罗缺席弗雷德扳平 VAR帮忙曼联1-1险平蓝狐,扳平,0
专打队友?KO萨拉赫后 利物浦10号揭幕战再战范迪克,再战,0
可能是真正的死亡之组!FIFA平均排名14.75 都太能打,fifa,0
世界杯最刺激剧情:阿根廷可能再遇法国 梅罗决赛见?,法国,6
大英21岁国脚考虑换国家队踢世界杯!已和总统见过面,国脚,0
曼城无偿收留乌克兰难民球员 与津琴科手持国旗合影,合影,2
4豪门争哈兰德!巴黎开5年3亿欧工资 巴萨5年2亿最低,亿欧,0
名宿:马奎尔一泻千里是因为C罗回了曼联 他没权威了,奎尔,0
C罗:带着更强烈雄心冲向卡塔尔 B费:喷子不懂他贡献,贡献,0
爱神9个月前在这昏迷 9个月后当队长+破门!兴奋滑跪,队长,0
世预赛-帕奎塔传射理查利森2球 巴西4-0玻利维亚,传射,0
37岁C罗将第5次参加世界杯!C位大合影:我太高兴了,合影,0
萨拉赫祝福马内:世界杯加油踢 让所有非洲国家自豪,非洲,0
世界杯一档8队出炉:葡萄牙挤上末班车!德国荷兰二档,葡萄牙,0
阿布谈判疑遭下毒?乌方回应:阴谋论 未经证实的信息,阿布,0
C罗鲁尼长子联袂为曼联U12出场+进球!小小胖5场10球,出场,0
曝阿布在俄乌谈判后曾中毒 一度失去视力!现已康复,cba,0
C罗鼓励葡萄牙全队:我们是个勇敢不朽的国家!加油!,鼓励,0
C罗:没有葡萄牙就没有世界杯 我们肯定会晋级的,葡萄牙,4
"曼联又一球员在家中遭持刀抢劫!还被""忠告"":警觉点",曼联,2
美国队长霸气戴帽!5-1大胜 末轮不惨败就进世界杯,霸气,0
"54岁加斯科因被对手""逼""着进球!动人一幕 4万人欢呼",一幕,0
不招德赫亚?恩里克:之前和他谈过了 你们会原谅我的,cba,0
泪目了!埃里克森287天后王者归来!首次触球就破门,首次,0
传奇赛-杰拉德安菲尔德破门献飞吻!利物浦1-2巴萨,传奇,0
热身-巴舒亚伊破门+大将传射 比利时2-2爱尔兰,热身,0
热身-贝尔温2球 埃里克森回归+破门!荷兰4-2丹麦,热身,0
热身-切尔西2将破门!穆勒失点 德国2-0灭以色列,热身,0
热身-凯恩点射!卢克肖破门 英格兰2-1逆转瑞士,点射,0
C罗与激进球迷合影 该球迷曾称梅西拿金球是盗窃,球迷,0
博格巴:在曼联浪费了5年 这里不停地换教练和队友,博格,0
博格巴自曝穆帅执教时曾患抑郁症 再暗示将离开曼联,博格,0
拼了!C罗发文:深知进世界杯难了 但仍将拼尽全力,发文,0
孙兴慜独造3球当选MVP!却遭英国球迷嘲讽:演技太差,嘲讽,0
足总杯-利物浦1-0险胜半决赛战曼城 若塔制胜球,半决赛,0
英超-孙兴慜双响凯恩2传 热刺3-1西汉姆紧追阿森纳,凯恩,0
车子今夏遭强拆!队长转投巴萨 后防大佬免签尤文,尤文,0
特里确认有意收购切尔西股份:这是为了保护俱乐部,确认,0
绝境之王!切尔西3月份6战全胜 永不垮的精神力量,切尔西,0
足总杯-卢卡库齐耶赫破门 切尔西2-0米堡晋级4强,卢卡,4
韩国财团报价切尔西!女CE0放话:要改写韩国历史,韩国,0
0-2到3-2!英超惊天大逆转 利兹联连续2轮补时绝杀,连续,0
英超活久见一幕:男子将脖子绑门柱上 比赛中断8分钟,一幕,0
从降级区到欧联8强!莫耶斯超燃一幕 球迷齐声欢呼,欧联,0
99分钟绝杀!埃弗顿终于赢了 兰帕德疯狂庆祝受伤,终于,0
欧联-铁锤帮加时2-1淘汰塞维利亚!乌克兰国脚绝杀,欧联,0
拉什福德遭曼联球迷辱骂 回怼对方:过来当我面讲,球迷,0
争冠白热化!利物浦2个月狂追13分 4月10日决战曼城,争冠,0
博格巴悬赏抓贼:踢欧冠时家中失窃 孩子还在睡觉,博格,0
英超-利物浦2-0阿森纳距曼城1分 若塔菲尔米诺破门,阿森纳,0
英超-凯恩进球+失空门 热刺2-0布莱顿距前四3分,空门,0
切尔西遭制裁后没钱坐飞机 哈弗茨:我愿意出钱,切尔西,0
英国首相发言人:希望切尔西球迷别再喊阿布的名字,阿布,0
53岁英超传奇:俄乌北约我都不支持 全是政客的游戏,传奇,0
"英超悬念回来了!曼城突然""刹车"" 利物浦全胜就夺冠",回来,0
阿布遭制裁后首次亮相!头发全白了 面容无比憔悴,阿布,0
英超-曼城0-0被逼平!暂4分领跑 丁丁坎塞洛中框,丁丁,0
19岁英雄登场2分钟绝杀!利兹止6连败 数万球迷乐疯,英雄,0
英国名嘴:C罗是足坛历史NO.1 梅西成功主要靠巴萨,英国,0
真要降级了!兰帕德带队英超4连败 创144年耻辱纪录,耻辱,0
图赫尔谈去客场:不能飞就坐火车 再不行我自己开车,赫尔,0
乌克兰国脚破门后跪地 双手捂脸哭泣!球迷起立鼓掌,国脚,0
英超-托马斯破门拉卡点杀 阿森纳2-0莱斯特升第4,阿森纳,0
英超-哈弗茨89分钟绝杀!切尔西1-0纽卡迎5连胜,切尔西,0
C罗每15分钟进球数都达到100+!越是生死时刻他越强,时刻,0
曝博格巴确定赛季结束后离曼联!大概率去尤文或巴黎,博格,0
孔蒂被C罗征服:如果没有他 曼联连平局都拿不到!,曼联,0
朗尼克:C罗证明了 他依然有能力为曼联这种球队踢球,能力,0
复出第3战 埃里克森助攻+策动造点!队友追星式熊抱,复出,0
37岁C罗连续13年戴帽 807球成历史第一!又救了曼联,戴帽,0
英超-C罗超神戴帽成史上第一射手!曼联3-2双杀热刺,热刺,0
英媒爆猛料:曼城与哈兰德已达成协议 总费用超1亿镑,哈兰德,0
曝萨拉赫续约谈判已破裂 经纪人疑似嘲讽克洛普,嘲讽,0
克洛普:阿布与战争关系密切 英政府制裁他是对的,阿布,0
曝阿布欲同意英政府接手切尔西 自愿放弃全部利益,放弃,0
足球的神圣外衣，这次被彻底撕掉了,这次,0
切尔西再遭打击!银行账户被冻结 大巴油钱都付不起,切尔西,0
土耳其富豪:本接近下周收购蓝军 考虑起诉英国政府,接近,0
挡不住了!纽卡3连胜+9轮不败 巴西国脚超炫蝎子摆尾,不败,0
图赫尔:只要有足够的球衣和一辆大巴 我们就会上场,上场,0
库鸟英超8战造7球仅次凯恩!维拉3-0要送利兹联降级,降级,0
切尔西主赞助商宣布暂停赞助 难!面临6000万镑黑洞,面临,0
切尔西生死存亡81天!阿布太难 对手:你们要破产了,阿布,0
英超-芒特哈弗茨传射!查洛巴破门 切尔西3-1迎4连胜,传射,0
曝C罗密谈门德斯 筹划今夏离队!想全力踢欧冠生死战,今夏,0
曝土耳其富豪90%可能性收购切尔西!76人老板也有意,老板,0
英超官方宣布中止在俄罗斯转播 向乌克兰捐100万镑,万镑,0
17岁曼联小将入选阿根廷国家队!还没为红魔出场过,出场,0
54岁阿森纳名宿回乌克兰参军 曾助枪手夺双冠王,名宿,0
心疼!80岁弗格森遭曼城球迷当面羞辱 低头默默离开,离开,0
失联!曝C罗私自飞回葡萄牙 曼联不知他何时归队,葡萄牙,0
英超-孙兴慜破门凯恩双响 热刺5-0大胜埃弗顿,凯恩,0
曼联名宿:5-6人永远都不配为曼联踢球!太丢人了,曼联,0
80岁弗格森脸色铁青!朗尼克:我不认为球员不够努力,努力,2
8%超尴尬控球率!曼联真的连球都碰不到 毫无斗志,尴尬,0
曝C罗未受伤!因被踢出首发拒绝出场 姐姐点赞该爆料,出场,0
英超-萨卡传射!拉卡2传厄德高破门 阿森纳3-2升第4,传射,0
英超-丁丁2射1传!马赫雷斯2球 曼城4-1双杀曼联,丁丁,0
切尔西球迷声援阿布高喊名字 图赫尔:现在不该这样,阿布,0
阿布急售切尔西遭疯狂压价 卖家:出20亿都算多了,阿布,0
库鸟再传射建功!7场造6球=巴萨24场 杰拉德怒赞,传射,0
暖心!球员被犯规后正要发火 一看是爱神后秒变脸,犯规,2
英超-普利希奇詹姆斯传射哈弗茨2球 切尔西4-0,传射,0
英超-阿诺德助攻马内制胜 利物浦1-0西汉姆联赛7连胜,马内,0
瓜帅：看C罗踢球真是享受 他和梅西都将后无来者,享受,0
土耳其富豪自宣即将成为切尔西新老板:谈判已近尾声,老板,0
因计划集体声援乌克兰 本轮德甲英超比赛将遭禁播,计划,0
英超名将:请别再为难切尔西球员 人们会怀念阿布,阿布,2
津琴科眼含热泪:如果不是因为女儿 我将出现在战场,cba,0
阿布要求买家:必须维持切尔西的豪门地位 否则不卖,阿布,0
离谱!特里晒阿布照片惨遭网暴 英国议员:赶紧删除,离谱,0
英国名嘴:阿布理应受到谴责 切尔西应该被逐出前四,阿布,0
英媒质疑阿布出售切尔西动机:他要拿钱给普京打仗,质疑,0
阿布已收到多份30亿镑报价!最快下周一完成交易,交易,0
魂断蓝桥：阿布的19年,阿布,0
巴神:我与梅罗天赋相当 若留在曼城必拿金球奖,金球奖,0
19年21冠!阿布离开切尔西只提1要求 车迷集体泪目,阿布,0
速战速决!阿布对切尔西标价30亿镑 本周五截止报价,阿布,0
足总杯-南野拓实梅开二度 利物浦2-1诺维奇进8强,梅开二度,0
足总杯-维尔纳2传1射卢卡库破门 切尔西3-2逆转晋级,卢卡,4
阿布:为了切尔西考虑决定出售球队 将捐出净利益,阿布,0
曼城让乌克兰球员津琴科当队长 瓜帅:我们都支持他,支持,2
图赫尔发布会破防:别再问我战争的问题 真的烦了,发布会,0
曝阿布首次考虑出售切尔西 本周将至少有三方报价,报价,0
足总杯-曼城2-0晋级8强 格拉利什马赫雷斯建功,建功,4
足总杯-热刺0-1遭英冠队淘汰!19岁小将补时绝杀,补时,0
为理想买单的贝尔萨，仍是利兹联的传奇,传奇,0
英媒:曼联今夏或与C罗提前解约 朗尼克不再信任他,英媒,0
英足总官方:在任何国际赛事都不会与俄罗斯交手,俄罗斯,0
切尔西为乌克兰和平祈祷 英议员:阿布必须谴责普京,阿布,0
神剧情!119分钟上场扑点的凯帕 罚丢点球…门迪无奈,无奈,0
近4轮全败丢17球 利兹联解雇66岁贝尔萨!美国人接任,美国,0
联赛杯-凯帕替补11轮失点!利物浦11-10切尔西夺冠,替补,0
66岁贝尔萨确定下课!26轮狂丢60球 带队俯冲降级区,带队,0
中柱+失空门!C罗获全队最低分 摊手抱怨B费不传球,空门,0
阿布宣布放弃切尔西管理权 但暂时不会出售球队,阿布,0
重返赛场!埃里克森259天后首秀 全场球迷起立鼓掌,全场,0
英超-曼城1-0埃弗顿6分领跑 对手送礼福登绝杀,领跑,0
阿布女儿谴责普京 切尔西要易主?众土豪等着接盘,阿布,0
C罗:我们要为孩子们创造一个更好的世界 祈祷和平,更好,0
C罗:我的优秀不需要自己说 数据在那 事实就是事实,数据,0
37岁C罗:我大概还能踢4-5年吧 希望能赢得更多东西,东西,0
巴萨+塞维利亚领衔欧联杯16强!2档太强了 19点抽签,抽签,0
英超-黄喜灿破门 拉卡补时造乌龙!阿森纳2-1狼队,补时,0
"热刺近5战输4场 孔蒂""风中凌乱"":我接受任何决定",热刺,0
英超-凯恩头球中框 热刺0-1负伯恩利!近5轮1胜,凯恩,0
英超-萨拉赫2点+助攻 马内双响!利物浦6-0差曼城3分,马内,0
"卢卡库""消失""了!切尔西久违的流畅感 神将46次触球",卢卡,0
"埃里克森热身赛78分钟贡献2助攻!周末英超""首秀""?",贡献,0
C罗甩卖纽约豪宅亏损1000万欧 INS粉丝破4亿:谢大家,万欧,0
卢卡库单场耻辱7触球!图赫尔:我也不知咋办 别笑他,耻辱,0
又一场对捅局！曼联用利兹联的方式赢了利兹联,一场,0
C罗门前2米错失良机!赛后评分仅6.3 全队倒数第2,全队,0
桑乔27场首个助攻!B费头球破门 曼联2-0扩大领先,首个,0
瓢泼大雨中 马奎尔头球破门!霸气滑跪 曼联1-0领先,奎尔,0
13年最差!C罗连续6场球荒 英媒打出3分…全队最差,最差,0
英超-桑乔破门 曼联1-1平南安普敦 C罗陷6场球荒,英超,0
足总杯-南野拓实破门伤愈小将世界波!利物浦3-1晋级,小将,4
足总杯-阿隆索加时绝杀凯帕扑点 切尔西2-1逆转晋级,加时,4
战胜心脏病回归赛场!埃里克森正式签约英超升班马,签约,0
曝C罗主动加入曼联年轻队员聊天群 改善队内关系,主动,0
孔蒂太难了!业余联赛球员拒绝加盟热刺 冬窗仍0引援,业余,2
巴萨官宣租借签下英超26岁过人王!半年薪水仅35万欧,租借,0
重返国家队首战 大连旧将超燃戴帽!全队疯狂庆祝,大连,0
C罗现身迪拜领奖 现场人山人海!度假仍坚持训练,现场,0
射门28-4却0-1输了!哥伦比亚跌至第6 法尔考J罗无功,射门,0
鲁尼拒绝邀请 兰帕德确定将执教埃弗顿!1年后回英超,执教,0
利物浦6000万欧敲定美洲杯25岁金靴!相同报价KO热刺,敲定,0
利物浦门神单场2次染红 2次被取消!真-红红活活,取消,0
世预赛-胖虎破门阿利森爆头逃红牌 巴西1-1厄瓜多尔,预赛,0
彻底闹掰!奥巴无缘阿森纳迪拜之旅 被勒令单独训练,阿森纳,0
1场球100万镑!曼联变态条款吓退纽卡 林加德怒了,万镑,0
狼队1600万欧买断黄喜灿!签至2026年 英超前6战4球,万欧,0
国脚生涯第3战 32岁替补扑出拜利点球!萨拉赫乐疯了,萨拉,0
"利物浦巨星非洲杯遭""爆头""!仍坚持比赛+进关键球",利物浦,0
五大联赛最老主帅!74岁霍奇森回归英超 接班拉涅利,回归,0
曼联官宣马夏尔租借加盟塞维利亚 签约至赛季结束,租借,0
阿德巴约力挺奥巴!炮轰阿森纳:永远不知何为谅解,永远,0
官宣!英超升班马解雇70岁拉涅利 带队14战输了11场,带队,0
"利物浦遇惊魂半场!渣叔赛后乐开花 请球迷""喝喜酒""",半场,0
4连杀+恐怖8-0!切尔西打服热刺 孔蒂遭联赛首败,热刺,0
英超-齐耶赫世界波弟媳破门 切尔西2-0热刺孔蒂首败,切尔西,0
霸气挑衅埃弗顿!杰拉德怒视看台 插兜露蔑之微笑,霸气,0
斯特林又快乐了!大半个空门踢飞 传球失误致丢球,快乐,0
C罗场上抱怨青木不传球 0抢断3越位获全队最低分,全队,0
英超-丁丁助攻拉波尔特破门 曼城1-1圣徒12连胜终止,丁丁,0
英超-拉什福德读秒绝杀!曼联1-0西汉姆杀进前4,绝杀,0
C罗加盟曼联内幕曝光:曾联系曼城 无缘前4降薪25%,降薪,0
英超天秀蝎子摆尾!拉涅利0-3惨败 8轮不胜进降级区,不胜,0
"""大祭司""再见!36岁维尔马伦正式退役 生涯夺20冠",生涯,0
朗尼克:不想再看到C罗耍脾气 曼联利益高于任何人,不想,0
利物浦官宣沙奇里离队!签约里昂3年 转会费1100万,签约,0
阿森纳vs切尔西：早已料到了兵工厂败北，但没想到过程还有新的失望,阿森纳,0
基恩:阿森纳有些人在混日子 切尔西本可以7-0赢,阿森纳,0
内鬼!威廉赛后点赞切尔西ins 阿森纳球迷:让他滚!,点赞,0
花式甩锅!阿尔特塔:输球是因为失去了9个重要球员,输球,2
118年首次!阿森纳开局2连败+0进球 1.3亿买个寂寞?,阿森纳,0
不走了?凯恩替补迎赛季首秀 赛后独自致谢热刺球迷,凯恩,0
曼联英超27场客场不败追平阿森纳!但1人表现糟透了,追平,0
是否会去阿森纳踢球？卢卡库微微一笑：不 谢谢,踢球,0
迟到10年的蓝军生涯首球!卢卡库感人一幕 顶级怪兽!,一幕,0
新赛季看阿森纳什么？,阿森纳,0
英超-卢卡库首秀破门!詹姆斯传射 切尔西2-0阿森纳,卢卡,0
"阿森纳左路被打爆!切尔西行云流水 ""詹皇""爆射2-0!",詹皇,0
这就是现在的卢卡库!回归首秀破门!切尔西1-0阿森纳,卢卡,0
英超-阿里造点命中凯恩替补登场失单刀 热刺1-0狼队,单刀,0
英超-弗雷德乌龙格林伍德扳平 曼联1-1南安普敦,扳平,0
2助攻+造乌龙!有他还要啥凯恩 瓜帅无锋阵还能抢救?,凯恩,0
砸下1.3亿引援费后 阿森纳老板喊话:再次为冠军而战,老板,0
穆帅:意大利记者都很懂球 不像英国记者总下套,记者,0
索帅反讽渣叔落伍:我们有球迷有赞助 必然有钱,球迷,0
忍不了!克洛普怒喷伯恩利太脏: 还不如去看摔跤,克洛普,0
范戴克=主场不败! 利物浦世一卫再现残暴统治力,不败,0
英足坛阿富汗球员:回国一定会被枪杀 塔利班在体育场挂砍下的胳膊腿,回国,2
英超-曼城5-0屠升班马!格拉利什处子球 斯特林建功,斯特林,0
牛！英超29岁名将超帅倒勾世界波 门将愣在原地,门将,0
利物浦最大惊喜!18岁天才惊艳全场 渣叔熊抱+摸头,天才,0
曼城1亿先生戏剧处子球!来的太突然 自己都愣了,曼城,0
英超-利物浦2-0开局2连胜!若塔连场破门 马内建功,马内,0
世一卫回来了!范戴克60米精准长传 马内爆射破门,回来,0
2轮2球!希腊飞翼助攻 若塔头球破门!利物浦1-0领先,领先,0
英超第一!阿森纳今夏买人花费1.32亿 球迷却怒了,今夏,0
索帅确认林加德本赛季留队！还对他说了2句肺腑之言,确认,0
主帅公开表达不满！热刺队史标王已主动要求转会,主动,0
曼联昔日金童涉嫌用加密货币洗钱400万镑!面临指控,面临,0
凯恩终于归队训练了!但基本见不到他笑 对列维失望,终于,0
阿森纳签三狮国门!转会费3000万 球迷嫌贵破口大骂,转会费,0
4次外租后告别皇马!厄德高加盟阿森纳 转会费3000万,转会费,0
欧足联年度最佳教练候选:瓜帅曼奇尼图赫尔前3,赫尔,0
欧足联年度最佳球员候选:丁丁坎特若鸟前3 梅西第4,丁丁,2
欧会杯附加赛-孙兴慜凯恩缺席 热刺0射正0-1葡超第5,凯恩,0
老板小贝观战 迈阿密3-2逆转绝杀!伊瓜因1助攻2策动,老板,0
"足坛又一经典父子""同框""!奇迹的传承 超高含金量2冠",传承,0
卢卡库确认将穿9号！疯狂球迷：维尔纳快点滚吧,确认,0
热身-桑乔首发 林加德破门!被遗忘之人出场 曼联3-1,热身,0
瓦拉内:加盟曼联很骄傲 弗格森10年前拜访过我母亲,骄傲,0
"乌龙?英超官网提前""宣布"":林加德再次加盟铁锤帮",乌龙,0
意媒:C罗自荐加盟曼城 经纪人已飞往曼彻斯特,曼城,0
热刺赢球后球迷狂冲入场求孙兴慜抱抱 曼城球迷和安保打成一锅粥,球迷,0
手握9亿镑阵容连续3场正赛无进球 瓜帅不急:才输1场,阵容,0
瓜帅面临难题!曼城1亿先生首秀迷失 输球又输人,面临,0
英超71球!孙兴慜超越坎通纳 7杀曼城无愧瓜帅克星,超越,0
凯恩缺阵热刺掀翻曼城 球迷高唱:凯恩你看到了吗?,凯恩,0
英超-孙兴慜无解世界波!贝尔温失单刀 热刺1-0曼城,单刀,0
牛!孙兴慜单挑后卫左脚世界波 热刺1-0领先曼城,后卫,0
蓝军新兵蛋子太惊艳!首秀就进球 赛后跪地落泪:妈妈我做到了,赛后,0
时隔10个月!范戴克一回来就逆天 豪言要率队争冠,率队,0
7.2万人挤爆球场!欧洲杯2失意人残暴开秀 强到离谱,离谱,0
心酸!切尔西连胜夜 亚伯拉罕独自从蓝桥拖箱飞罗马,切尔西,0
瓜帅回击克洛普:曼城随便买?谁有异议就去法庭告啊,克洛普,0
GIF-德比郡后卫99分钟坐佛式送大礼 鲁尼场边气笑了,后卫,0
普利西奇进球仍遭骂 图赫尔场边爆粗:你XX太独了,赫尔,0
开季5连杀+独造3球!萨拉赫YYDS 真不是昙花一现,萨拉,0
英超-萨拉赫1射2传菲尔米诺建功 利物浦3-0开门红,萨拉,0
胖成这样了?45岁维埃拉回归英超 执教首秀0-3惨败,惨败,0
英超-34岁瓦尔迪制胜球!咆哮庆祝 莱斯特1-0擒狼,庆祝,0
英超-阿隆索世界波小将首秀破门 切尔西3-0水晶宫,首秀,0
太轻松!美国队长补射建功 切尔西半场2-0水晶宫,轻松,0
曼城切尔西疯狂买买买 渣叔酸了:你们咋那么有钱?,疯狂,0
75年等待!升班马斩英超首胜 白发球迷看台流泪 全场超燃合唱hey jude,首胜,0
塔帅解释输球原因遭逐条打脸 或成英超首位下课主帅,下课,0
丢人!枪手首战创45年之耻 卡拉格:经典阿森纳式挨揍,首战,0
阿森纳官宣威洛克转会纽卡斯尔 2500万英镑签6年,转会,0
笑喷!切尔西更衣室狂欢庆祝夺冠 坎特角落偷吃披萨,更衣室,0
曝瓜帅死命令必须拿下凯恩 曼城提高报价至1.27亿镑,拿下,0
卢卡库遭喷三姓家奴 国米球迷:你2月也说自己回家了,回家,0
利兹联续约贝尔萨一年 贝尔萨:为球队投资感到吃惊,一年,0
来了!切尔西官宣卢卡库回归 签约5年转会费1.15亿,签约,0
74天里 47岁男人2次称霸欧洲！9亿欧豪阵还有大惊喜,亿欧,0
赢麻了!切尔西核心今夏第3次捧杯 金球奖有希望?,核心,0
119分钟上场 2次扑点立大功!图赫尔热情亲吻凯帕,上场,0
蓝军双喜临门!卢卡库抵达伦敦 周末或出战英超首轮,卢卡,0
欧超杯-切尔西总分7-6黄潜夺冠!凯帕点球大战2扑点,大战,0
加盟巴黎无望!博格巴仍拒绝续约 欲自由身离开曼联,博格,0
杰拉德连遭打击!带队11打10被逆转 无缘欧冠正赛,带队,0
卢卡库替身!35岁哲科将加盟国米 穆帅瞄准蓝军前锋,前锋,0
热身-南野拓实助攻+造乌龙+天秀停球!利物浦3-1胜,热身,0
愤怒!国米球迷毁坏卢卡库壁画:你被金钱迷惑了,国米,0
没跑了!德罗巴提前官宣卢卡库加盟切尔西:他回家了,回家,0
卢卡库将回归切尔西!转会费1.3亿 国米妥协同意放人,国米,0
前蓝军青训球员改行短跑战奥运 拉伤肌肉走到终点,奥运,2
阿森纳签下布莱顿中卫本-怀特!转会费5000万镑,万镑,0
鲁尼就夜店艳照流出向妻子道歉: 其实我也是受害者,道歉,0
红军名宿:孙兴慜续约热刺说明他对胜利无欲无求了,名宿,0
又又又偷吃!女网红曝与鲁尼床照:半裸拥吻 房间还有第三人,第三,0
相似度99%!突尼斯跆拳道银牌选手撞脸B费 本人回应,回应,0
热刺官宣与孙兴慜续约至2025年 英媒:年薪1200万镑,英媒,0
热身赛-孙兴慜28分钟贡献1射2传 助热刺3-0大胜,贡献,0
2022年金球奖:本泽马击败马内德布劳内首次获奖,马内,0
金球奖排名:本泽马捧杯马内第二 C罗20梅西无缘提名,马内,0
我们的球员拿金球奖了!本泽马越老越强 德尚揭秘,揭秘,2
意甲-迪巴拉点球破门+伤退 罗马2-1险胜10人莱切,意甲,0
维尼修斯入籍后首发声: 成为本泽马魔笛这种皇马传奇,传奇,0
16+7!皇马8000万先生踢出离谱数据 拉莫斯后第二人,离谱,0
帅炸!莱万停球抽射一气呵成 3轮5球登顶西甲射手榜,登顶,0
西甲-巴萨3-0大胜塞维利亚 莱万凌空斩孔德2助攻,莱万,0
巴萨官宣签约阿隆索 合同期仅一年 违约金5000万欧,一年,0
格刀出鞘!替补2分钟建功助马竞1-0 却沦为铁板凳,替补,0
官宣!35岁卡瓦尼免签瓦伦西亚 解锁生涯第四大联赛,第四,0
418场西甲首次任意球建功!34岁本泽马还在进化,任意球,0
差点大四喜!莱万绝妙脚后跟破门 再度复刻德甲logo,再度,0
西甲-莱万梅开二度+中柱!登贝莱2助攻 巴萨4-0大胜,登贝莱,0
西甲-本泽马双响+任意球破门!皇马3-1西班牙人,任意球,0
本泽马当选欧足联年度最佳球员 安切洛蒂最佳教练,最佳,2
巴萨为昔日功勋办慈善赛!PK瓜帅 第3球衣正式发布,昔日,0
马竞欲倒贴退货格子 遭巴萨一口回绝 降薪3成可留队,降薪,0
主场0-2!马竞球迷辱骂格子 队友发怒险些冲上看台,主场,0
开场45秒斩巴萨处子球!莱万破生涯纪录 为生日献礼,开场,0
西甲-莱万梅开二度法蒂1射2传 巴萨4-1皇家社会,梅开二度,0
完美接班胖虎!皇马8000万先生攻防一体 填满数据栏,完美,0
36岁魔笛暴力世界波+精准长传助攻!皇马官方:传奇!,传奇,0
西甲-本泽马点射魔笛世界波!皇马4-1塞尔塔2连胜,点射,0
土超落魄豪门有意阿扎尔 皇马生涯6球6冠 如今铁板凳,阿扎尔,0
曝曼联有意武磊前队友德托马斯 西班牙人标价3000万,西班牙人,0
"丝滑卸球+致命一击!""日本梅西""离开皇马后首秀建功",离开,0
西甲-阿拉巴任意球制胜!皇马2-1逆转升班马开门红,任意球,0
安帅:皇马是执教生涯最后一站 离任后将直接退休,执教,0
西甲-莱万首秀哑火!进球被吹 巴萨0-0巴列卡诺,进球,0
巴萨宣布启动第4个杠杆!获1亿欧 莱万等4人成功注册,亿欧,0
巴萨仍无法注册新援!球迷拦车辱骂德容:混蛋 降薪!,降薪,0
324球!本泽马一战超越劳尔 安帅:金球奖没有悬念,一战,0
执掌皇马第30冠!老佛爷:伯纳乌才是皇马的缔造者,皇马,0
欧超杯-皇马2-0法兰克福夺冠!本泽马阿拉巴破门,本泽马,0
巴萨认为皮克德容等4人合同涉嫌犯罪!希望作废重签,合同,0
甘伯杯-莱万1射2传!佩德里双响 巴萨6-0美洲狮夺冠,双响,0
"21:00拜仁收视率输给有中国队的冰壶!但西甲""不信邪""",拜仁,0
皇马官宣今夏离队第7人 转会费1000万欧却成最高卖价,转会费,0
西媒:武磊是优秀的职业球员 踢不上球也从不抱怨,职业,2
热身赛-登贝莱德佩建功 莱万失良机 巴萨2-0纽约红牛,热身赛,0
拉波尔塔:会尽全力签回梅西 让他穿着巴萨球衣退役,波尔塔,0
巴萨官宣今夏离队第9人 200万欧贱卖青训多面手,今夏,0
拉波尔塔回怼拜仁主帅:巴萨有底蕴 球员降薪也想留队,波尔塔,2
巴萨官宣今夏第5签!6000万引进孔德 又截杀切尔西,今夏,0
热身-本泽马世界波阿扎尔破门 皇马2-2墨西哥美洲,阿扎尔,0
热身赛-登贝莱神仙球双响!小基恩2球 巴萨2-2尤文,登贝莱,0
打爆尤文!登贝莱7分钟连进2个神仙球 模仿库里庆祝,登贝莱,0
落叶归根!35岁苏亚雷斯告别欧洲足坛 宣布回归母队,告别,0
巴萨6000万敲定后防新领袖 切尔西又遭截杀 悲剧X2,敲定,0
